epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,9427.03,1.08988,0.90922,1.30872,0.79595,0.829,0.83419,0.49076,1.49435,0.89837,1.55477,6.139e-05,6.139e-05,6.139e-05
41,9663.49,1.0813,0.87979,1.2953,0.84327,0.78284,0.83765,0.4888,1.49216,0.88795,1.58072,6.04e-05,6.04e-05,6.04e-05
42,9898.31,1.09107,0.8844,1.30301,0.81503,0.77898,0.83169,0.47664,1.51181,0.94173,1.59213,5.941e-05,5.941e-05,5.941e-05
43,10133.7,1.06614,0.86448,1.29002,0.82299,0.82303,0.84847,0.49114,1.48153,0.87642,1.5646,5.842e-05,5.842e-05,5.842e-05
44,10369.5,1.06072,0.86295,1.28398,0.81147,0.80162,0.84429,0.48686,1.48742,0.9496,1.5692,5.743e-05,5.743e-05,5.743e-05
45,10604.3,1.05874,0.86307,1.28462,0.82183,0.81376,0.85273,0.48986,1.5021,0.89194,1.58837,5.644e-05,5.644e-05,5.644e-05
46,10839.3,1.04913,0.84866,1.28022,0.82103,0.81762,0.84222,0.48157,1.50156,0.92074,1.59366,5.545e-05,5.545e-05,5.545e-05
47,11074.1,1.03985,0.84153,1.2711,0.78474,0.84798,0.83633,0.484,1.48057,0.88386,1.58053,5.446e-05,5.446e-05,5.446e-05
48,11309,1.03123,0.82887,1.26411,0.83912,0.80216,0.84383,0.49339,1.47685,0.88814,1.58103,5.347e-05,5.347e-05,5.347e-05
49,11544.6,1.02435,0.81929,1.25068,0.81057,0.84158,0.84921,0.49429,1.48132,0.87335,1.56155,5.248e-05,5.248e-05,5.248e-05
50,11780.5,1.01932,0.81267,1.25267,0.84456,0.7983,0.84948,0.49579,1.48615,0.90703,1.58596,5.149e-05,5.149e-05,5.149e-05
51,12015.8,1.01099,0.811,1.2614,0.8211,0.82148,0.84541,0.50486,1.48383,0.92496,1.60368,5.05e-05,5.05e-05,5.05e-05
52,12251.9,1.00375,0.79777,1.24395,0.81889,0.81066,0.83632,0.49199,1.49424,0.92454,1.61026,4.951e-05,4.951e-05,4.951e-05
53,12487.8,1.00507,0.79454,1.24545,0.8368,0.80836,0.84299,0.48824,1.50828,0.90315,1.60469,4.852e-05,4.852e-05,4.852e-05
54,12722.8,0.99195,0.78035,1.23887,0.8048,0.83849,0.84612,0.50668,1.47957,0.90818,1.61741,4.753e-05,4.753e-05,4.753e-05
55,12959,0.98291,0.76905,1.22766,0.84391,0.80062,0.84068,0.5057,1.48117,0.87943,1.58621,4.654e-05,4.654e-05,4.654e-05
56,13194,0.97216,0.76873,1.22432,0.86147,0.79298,0.85418,0.51316,1.47066,0.88547,1.59595,4.555e-05,4.555e-05,4.555e-05
57,13430,0.97768,0.75775,1.22518,0.81708,0.83617,0.8493,0.50718,1.46865,0.89891,1.59107,4.456e-05,4.456e-05,4.456e-05
58,13665.7,0.96496,0.75401,1.21799,0.83893,0.79675,0.8458,0.50124,1.47852,0.92101,1.5996,4.357e-05,4.357e-05,4.357e-05
59,13901.2,0.94473,0.71928,1.19821,0.83846,0.81685,0.85202,0.51301,1.43608,0.89298,1.5516,4.258e-05,4.258e-05,4.258e-05
60,14134.2,0.94178,0.72899,1.2035,0.86317,0.80436,0.85823,0.51427,1.45529,0.90213,1.58425,4.159e-05,4.159e-05,4.159e-05
61,14370.3,0.94388,0.73049,1.19762,0.82905,0.82226,0.85067,0.51138,1.45948,0.88074,1.59769,4.06e-05,4.06e-05,4.06e-05
